wavelength_um,R_plus,T_plus,A_plus,R_minus,T_minus,A_minus,emissivity_same_channel,eta,conservation_plus,conservation_minus
1.562199999999999989e+01,6.759914372064453891e-01,0.000000000000000000e+00,3.240085627935546109e-01,8.503099792695562043e-01,0.000000000000000000e+00,1.496900207304437957e-01,1.496900207304437957e-01,1.743185420631108151e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.562400000000000055e+01,6.887985655188120226e-01,0.000000000000000000e+00,3.112014344811879774e-01,8.449452666342187612e-01,0.000000000000000000e+00,1.550547333657812388e-01,1.550547333657812388e-01,1.561467011154067386e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.562599999999999945e+01,7.008650404035829951e-01,0.000000000000000000e+00,2.991349595964170049e-01,8.391654713702567658e-01,0.000000000000000000e+00,1.608345286297432342e-01,1.608345286297432342e-01,1.383004309666737708e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.562800000000000011e+01,7.122346969784379977e-01,0.000000000000000000e+00,2.877653030215620023e-01,8.329367787258040723e-01,0.000000000000000000e+00,1.670632212741959277e-01,1.670632212741959277e-01,1.207020817473660745e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.563000000000000078e+01,7.229508515658422674e-01,0.000000000000000000e+00,2.770491484341577326e-01,8.262222335915795357e-01,0.000000000000000000e+00,1.737777664084204643e-01,1.737777664084204643e-01,1.032713820257372683e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.563199999999999967e+01,7.330555202318012054e-01,0.000000000000000000e+00,2.669444797681987946e-01,8.189814968632647130e-01,0.000000000000000000e+00,1.810185031367352870e-01,1.810185031367352870e-01,8.592597663146350762e-02,1.000000000000000000e+00,1.000000000000000000e+00
1.563400000000000034e+01,7.425889198397054303e-01,0.000000000000000000e+00,2.574110801602945697e-01,8.111706051572158405e-01,0.000000000000000000e+00,1.888293948427841595e-01,1.888293948427841595e-01,6.858168531751041019e-02,1.000000000000000000e+00,1.000000000000000000e+00
1.563599999999999923e+01,7.515891734040673899e-01,0.000000000000000000e+00,2.484108265959326101e-01,8.027417443252431450e-01,0.000000000000000000e+00,1.972582556747568550e-01,1.972582556747568550e-01,5.115257092117575510e-02,1.000000000000000000e+00,1.000000000000000000e+00
1.563799999999999990e+01,7.600921609044622995e-01,0.000000000000000000e+00,2.399078390955377005e-01,7.936430514996858365e-01,0.000000000000000000e+00,2.063569485003141635e-01,2.063569485003141635e-01,3.355089059522353701e-02,1.000000000000000000e+00,1.000000000000000000e+00
1.564000000000000057e+01,7.681314719672416302e-01,0.000000000000000000e+00,2.318685280327583698e-01,7.838184661737731540e-01,0.000000000000000000e+00,2.161815338262268460e-01,2.161815338262268460e-01,1.568699420653152377e-02,1.000000000000000000e+00,1.000000000000000000e+00
1.564199999999999946e+01,7.757384282222932192e-01,0.000000000000000000e+00,2.242615717777067808e-01,7.732076582406430809e-01,0.000000000000000000e+00,2.267923417593569191e-01,2.267923417593569191e-01,2.530769981650138334e-03,1.000000000000000000e+00,1.000000000000000000e+00
1.564400000000000013e+01,7.829421518219671361e-01,0.000000000000000000e+00,2.170578481780328639e-01,7.617460705176488656e-01,0.000000000000000000e+00,2.382539294823511344e-01,2.382539294823511344e-01,2.119608130431827053e-02,1.000000000000000000e+00,1.000000000000000000e+00
1.564600000000000080e+01,7.897696632696572516e-01,0.000000000000000000e+00,2.102303367303427484e-01,7.493651256237681135e-01,0.000000000000000000e+00,2.506348743762318865e-01,2.506348743762318865e-01,4.040453764588913810e-02,1.000000000000000000e+00,1.000000000000000000e+00
1.564799999999999969e+01,7.962459963233962101e-01,0.000000000000000000e+00,2.037540036766037899e-01,7.359926623991410732e-01,0.000000000000000000e+00,2.640073376008589268e-01,2.640073376008589268e-01,6.025333392425513690e-02,1.000000000000000000e+00,1.000000000000000000e+00
1.565000000000000036e+01,8.023943216030480219e-01,0.000000000000000000e+00,1.976056783969519781e-01,7.215536860492457460e-01,0.000000000000000000e+00,2.784463139507542540e-01,2.784463139507542540e-01,8.084063555380227584e-02,1.000000000000000000e+00,1.000000000000000000e+00
1.565199999999999925e+01,8.082360727612903917e-01,0.000000000000000000e+00,1.917639272387096083e-01,7.059715386337112042e-01,0.000000000000000000e+00,2.940284613662887958e-01,2.940284613662887958e-01,1.022645341275791875e-01,1.000000000000000000e+00,1.000000000000000000e+00
