wavelength_um,metallic_tm_R,metallic_tm_T,metallic_tm_emissivity,metallic_te_R,metallic_te_T,metallic_te_emissivity,insulating_tm_R,insulating_tm_T,insulating_tm_emissivity,insulating_te_R,insulating_te_T,insulating_te_emissivity
8.910000000000000142e+00,2.586005992178800825e-02,6.625354327264046557e-03,9.675145857509479530e-01,6.854833475986904512e-02,1.444671330020652535e-03,9.300069939101103245e-01,9.801108473141969535e-01,7.962294888284093819e-03,1.192685779751895270e-02,9.796440324934460042e-01,7.501788040590750932e-03,1.285417946596324398e-02
8.914999999999999147e+00,2.584263899641284570e-02,6.551686408383635210e-03,9.676056745952035243e-01,6.875311109560983125e-02,1.443617424448613313e-03,9.298032714799414622e-01,9.801270883519156429e-01,7.959478710843192334e-03,1.191343293724116473e-02,9.796410886140811680e-01,7.506085572655106508e-03,1.285282581326372547e-02
8.919999999999999929e+00,2.583206093067731690e-02,6.479456062937509128e-03,9.676884830063851028e-01,6.895775841418272378e-02,1.442568965914406594e-03,9.295996726199028393e-01,9.801429664163502364e-01,7.956821315712141532e-03,1.190021226793762203e-02,9.796382068156493927e-01,7.510364359562508516e-03,1.285142882478809874e-02
8.925000000000000711e+00,2.582799921164943141e-02,6.408631432538012054e-03,9.677633693558125305e-01,6.916227688663174888e-02,1.441525925452647600e-03,9.293961971879155515e-01,9.801584947849617535e-01,7.954316370530425256e-03,1.188718884450782123e-02,9.796353870794097807e-01,7.514624384845228731e-03,1.284998853574498973e-02
8.929999999999999716e+00,2.582961475069889615e-02,6.339784071734056413e-03,9.678306011775670292e-01,6.936441653220870585e-02,1.440512128126671511e-03,9.291950713396646133e-01,9.801735392419484993e-01,7.952059193815230395e-03,1.187440156423627026e-02,9.796326493570527427e-01,7.518916135587251984e-03,1.284843450736000529e-02
8.935000000000000497e+00,2.583558472093797423e-02,6.273784886087711149e-03,9.678906303929742938e-01,6.956064292284358519e-02,1.439564804162292910e-03,9.289997922729941182e-01,9.801878903939607035e-01,7.950199089214623344e-03,1.186191051682467315e-02,9.796300217212510208e-01,7.523319911679558769e-03,1.284665836706942038e-02
8.939999999999999503e+00,2.584688365236870525e-02,6.209029737275426931e-03,9.679440866103558028e-01,6.975674315532837122e-02,1.438622461518047164e-03,9.288046343831536378e-01,9.802019424355746802e-01,7.948467789949866663e-03,1.184958977447545317e-02,9.796274509465621172e-01,7.527706367611462432e-03,1.284484268582642037e-02
8.945000000000000284e+00,2.586325928731246504e-02,6.145491338540495438e-03,9.679912493741470447e-01,6.995271747090206493e-02,1.437685074307518433e-03,9.286095974547904364e-01,9.802157058219541641e-01,7.946860379664398913e-03,1.183743379838143699e-02,9.796249370156349112e-01,7.532075486674130738e-03,1.284298749769095804e-02
8.949999999999999289e+00,2.588446995348808038e-02,6.083142972177307123e-03,9.680323870743346992e-01,7.014856611221739757e-02,1.436752616821411780e-03,9.284146812709611618e-01,9.802291906040951908e-01,7.945372146925561152e-03,1.182543724897924808e-02,9.796224799095740732e-01,7.536427252521425701e-03,1.284109283790450112e-02
8.955000000000000071e+00,2.591028413127314384e-02,6.021958485532787585e-03,9.680677573831940608e-01,7.034428932330202833e-02,1.435825063526098610e-03,9.282198856131718134e-01,9.802424064476469301e-01,7.943998575059507683e-03,1.181359497729356223e-02,9.796200796079692630e-01,7.540761649169205362e-03,1.283915874286153253e-02
8.960000000000000853e+00,2.594048003740052552e-02,5.961912286181945964e-03,9.680976076764175042e-01,7.053988734951971429e-02,1.434902389062129571e-03,9.280252102614181542e-01,9.802553626507463091e-01,7.942735332571169635e-03,1.180190201668252122e-02,9.796177360888840280e-01,7.545078660994400908e-03,1.283718525012157025e-02
8.964999999999999858e+00,2.597484522462404841e-02,5.902979336375366835e-03,9.681221754390005874e-01,7.073536043753009261e-02,1.433984568242718848e-03,9.278306549942272330e-01,9.802680681608728630e-01,7.941578264110654706e-03,1.179035357501648229e-02,9.796154493288825593e-01,7.549378272734407792e-03,1.283517239838303375e-02
8.970000000000000639e+00,2.601317619689676175e-02,5.845135146844542169e-03,9.681416886562586033e-01,7.093070883525329218e-02,1.433071576052398445e-03,9.276362195886942441e-01,9.802805315907571204e-01,7.940523381950949713e-03,1.177894502729192987e-02,9.796132193030407942e-01,7.553660469486310307e-03,1.283312022747289463e-02
