wavelength_um,wavelength_nm,theta_plus_deg,theta_minus_deg,phi_deg,harmonics,R_plus,T_plus,A_plus,R_minus,T_minus,A_minus,emissivity_same_channel,emissivity_reverse_channel,eta,conservation_plus,conservation_minus
16.4540000000,16454.0000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9481046395,0.0000000000,0.0518953605,0.9692680551,0.0000000000,0.0307319449,0.0307319449,0.0518953605,0.0211634156,1.0000000000,1.0000000000
16.4552000000,16455.2000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9496326539,0.0000000000,0.0503673461,0.9692941983,0.0000000000,0.0307058017,0.0307058017,0.0503673461,0.0196615443,1.0000000000,1.0000000000
16.4564000000,16456.4000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9510025213,0.0000000000,0.0489974787,0.9693201110,0.0000000000,0.0306798890,0.0306798890,0.0489974787,0.0183175897,1.0000000000,1.0000000000
16.4576000000,16457.6000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9522319284,0.0000000000,0.0477680716,0.9693457926,0.0000000000,0.0306542074,0.0306542074,0.0477680716,0.0171138642,1.0000000000,1.0000000000
16.4588000000,16458.8000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9533368556,0.0000000000,0.0466631444,0.9693712421,0.0000000000,0.0306287579,0.0306287579,0.0466631444,0.0160343865,1.0000000000,1.0000000000
16.4600000000,16460.0000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9543315788,0.0000000000,0.0456684212,0.9693964586,0.0000000000,0.0306035414,0.0306035414,0.0456684212,0.0150648798,1.0000000000,1.0000000000
16.4612000000,16461.2000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9552287537,0.0000000000,0.0447712463,0.9694214414,0.0000000000,0.0305785586,0.0305785586,0.0447712463,0.0141926877,1.0000000000,1.0000000000
16.4624000000,16462.4000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9560395412,0.0000000000,0.0439604588,0.9694461894,0.0000000000,0.0305538106,0.0305538106,0.0439604588,0.0134066482,1.0000000000,1.0000000000
16.4636000000,16463.6000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9567737522,0.0000000000,0.0432262478,0.9694707018,0.0000000000,0.0305292982,0.0305292982,0.0432262478,0.0126969495,1.0000000000,1.0000000000
16.4648000000,16464.8000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9574399937,0.0000000000,0.0425600063,0.9694949775,0.0000000000,0.0305050225,0.0305050225,0.0425600063,0.0120549838,1.0000000000,1.0000000000
16.4660000000,16466.0000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9580458094,0.0000000000,0.0419541906,0.9695190156,0.0000000000,0.0304809844,0.0304809844,0.0419541906,0.0114732062,1.0000000000,1.0000000000
