wavelength_um,R,T,A,R_plus_T_plus_A
1.010499999999999954e+00,8.923370974369235764e-01,5.993500564283153347e-05,1.076029675574335931e-01,1.000000000000000000e+00
1.010750000000000037e+00,8.920961413020811470e-01,5.983268082156372283e-05,1.078440260170972914e-01,1.000000000000000000e+00
1.010999999999999899e+00,8.918502222057163031e-01,5.973033809400636292e-05,1.080900474561896918e-01,1.000000000000000000e+00
1.011249999999999982e+00,8.915993265834327719e-01,5.962797691279814383e-05,1.083410454396544348e-01,1.000000000000000000e+00
1.011500000000000066e+00,8.913434399688906495e-01,5.952559674044612993e-05,1.085970344343689109e-01,1.000000000000000000e+00
1.011749999999999927e+00,8.910825470052624597e-01,5.942319705009713583e-05,1.088580297976874389e-01,1.000000000000000000e+00
1.012000000000000011e+00,8.908166314561619670e-01,5.932077732628629349e-05,1.091240477665117448e-01,1.000000000000000000e+00
1.012250000000000094e+00,8.905456762162682338e-01,5.921833706572023239e-05,1.093951054466660439e-01,1.000000000000000000e+00
1.012499999999999956e+00,8.902696633214801647e-01,5.911587577806382406e-05,1.096712208027417756e-01,1.000000000000000000e+00
1.012750000000000039e+00,8.899885739587911626e-01,5.901339298676409444e-05,1.099524126482220726e-01,1.000000000000000000e+00
1.012999999999999901e+00,8.897023884758871182e-01,5.891088822987779541e-05,1.102387006358830079e-01,1.000000000000000000e+00
1.013249999999999984e+00,8.894110863902991992e-01,5.880836106094293388e-05,1.105301052486398622e-01,1.000000000000000000e+00
1.013500000000000068e+00,8.891146463983401471e-01,5.870581104984527976e-05,1.108266477906100084e-01,1.000000000000000000e+00
1.013749999999999929e+00,8.888130463838397333e-01,5.860323778374623292e-05,1.111283503783765253e-01,1.000000000000000000e+00
1.014000000000000012e+00,8.885062634263136694e-01,5.850064086800331090e-05,1.114352359328183301e-01,1.000000000000000000e+00
1.014250000000000096e+00,8.881942738092203360e-01,5.839801992714374883e-05,1.117473281708525196e-01,1.000000000000000000e+00
1.014499999999999957e+00,8.878770530278849993e-01,5.829537460587259066e-05,1.120646515975091267e-01,1.000000000000000000e+00
1.014750000000000041e+00,8.875545757968995586e-01,5.819270457007575911e-05,1.123872314985303600e-01,1.000000000000000000e+00
1.014999999999999902e+00,8.872268160578534735e-01,5.809000950791338546e-05,1.127150939326386075e-01,1.000000000000000000e+00
1.015249999999999986e+00,8.868937469863301670e-01,5.798728913090273106e-05,1.130482657245389239e-01,1.000000000000000000e+00
1.015500000000000069e+00,8.865553409991784317e-01,5.788454317506582203e-05,1.133867744576464998e-01,1.000000000000000000e+00
1.015749999999999931e+00,8.862115697611496756e-01,5.778177140209659972e-05,1.137306484674482226e-01,1.000000000000000000e+00
1.016000000000000014e+00,8.858624041918651271e-01,5.767897360059378735e-05,1.140799168345342784e-01,1.000000000000000000e+00
1.016250000000000098e+00,8.855078144723399491e-01,5.757614958731812401e-05,1.144346093780727325e-01,1.000000000000000000e+00
1.016499999999999959e+00,8.851477700513225022e-01,5.747329920849302107e-05,1.147947566494690042e-01,1.000000000000000000e+00
1.016750000000000043e+00,8.847822396518436605e-01,5.737042234117386208e-05,1.151603899258151625e-01,1.000000000000000000e+00
1.016999999999999904e+00,8.844111912774154094e-01,5.726751889465039793e-05,1.155315412036899414e-01,1.000000000000000000e+00
1.017249999999999988e+00,8.840345922180909977e-01,5.716458881188937275e-05,1.159082431930971158e-01,1.000000000000000000e+00
1.017500000000000071e+00,8.836524090567210443e-01,5.706163207105915605e-05,1.162905293112078964e-01,1.000000000000000000e+00
1.017749999999999932e+00,8.832646076749410824e-01,5.695864868709056024e-05,1.166784336763718316e-01,1.000000000000000000e+00
1.018000000000000016e+00,8.828711532591742017e-01,5.685563871330279824e-05,1.170719911021124993e-01,1.000000000000000000e+00
1.018250000000000099e+00,8.824720103066628907e-01,5.675260224308502008e-05,1.174712370910940273e-01,1.000000000000000000e+00
1.018499999999999961e+00,8.820671426312942653e-01,5.664953941163598306e-05,1.178762078292941023e-01,1.000000000000000000e+00
1.018750000000000044e+00,8.816565133697666923e-01,5.654645039778765270e-05,1.182869401798355147e-01,1.000000000000000000e+00
1.018999999999999906e+00,8.812400849874064690e-01,5.644333542588113675e-05,1.187034716771676462e-01,1.000000000000000000e+00
1.019249999999999989e+00,8.808178192842832654e-01,5.634019476770727835e-05,1.191258405209490306e-01,1.000000000000000000e+00
1.019500000000000073e+00,8.803896774011498172e-01,5.623702874452884216e-05,1.195540855701056476e-01,1.000000000000000000e+00
1.019749999999999934e+00,8.799556198256889283e-01,5.613383772919546753e-05,1.199882463365818802e-01,1.000000000000000000e+00
1.020000000000000018e+00,8.795156063986347972e-01,5.603062214829880491e-05,1.204283629792168991e-01,1.000000000000000000e+00
1.020249999999999879e+00,8.790695963200194640e-01,5.592738248443131558e-05,1.208744762974961057e-01,1.000000000000000000e+00
1.020499999999999963e+00,8.786175481556052214e-01,5.582411927853821106e-05,1.213266277251162373e-01,1.000000000000000000e+00
