wavelength_um,wavelength_nm,theta_plus_deg,theta_minus_deg,phi_deg,harmonics,R_plus,T_plus,A_plus,R_minus,T_minus,A_minus,emissivity_same_channel,emissivity_reverse_channel,eta,conservation_plus,conservation_minus
15.0600000000,15060.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9610384549,0.0000000000,0.0389615451,0.9151446002,0.0000000000,0.0848553998,0.0848553998,0.0389615451,0.0458938547,1.0000000000,1.0000000000
15.0610000000,15061.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9611284801,0.0000000000,0.0388715199,0.9162972730,0.0000000000,0.0837027270,0.0837027270,0.0388715199,0.0448312070,1.0000000000,1.0000000000
15.0620000000,15062.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9612135711,0.0000000000,0.0387864289,0.9174233416,0.0000000000,0.0825766584,0.0825766584,0.0387864289,0.0437902295,1.0000000000,1.0000000000
15.0630000000,15063.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9612938420,0.0000000000,0.0387061580,0.9185233792,0.0000000000,0.0814766208,0.0814766208,0.0387061580,0.0427704628,1.0000000000,1.0000000000
15.0640000000,15064.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9613694040,0.0000000000,0.0386305960,0.9195979587,0.0000000000,0.0804020413,0.0804020413,0.0386305960,0.0417714453,1.0000000000,1.0000000000
15.0650000000,15065.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9614403655,0.0000000000,0.0385596345,0.9206476502,0.0000000000,0.0793523498,0.0793523498,0.0385596345,0.0407927153,1.0000000000,1.0000000000
15.0660000000,15066.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9615068321,0.0000000000,0.0384931679,0.9216730203,0.0000000000,0.0783269797,0.0783269797,0.0384931679,0.0398338119,1.0000000000,1.0000000000
15.0670000000,15067.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9615689064,0.0000000000,0.0384310936,0.9226746301,0.0000000000,0.0773253699,0.0773253699,0.0384310936,0.0388942764,1.0000000000,1.0000000000
15.0680000000,15068.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9616266882,0.0000000000,0.0383733118,0.9236530346,0.0000000000,0.0763469654,0.0763469654,0.0383733118,0.0379736536,1.0000000000,1.0000000000
15.0690000000,15069.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9616802740,0.0000000000,0.0383197260,0.9246087818,0.0000000000,0.0753912182,0.0753912182,0.0383197260,0.0370714923,1.0000000000,1.0000000000
15.0700000000,15070.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9617297577,0.0000000000,0.0382702423,0.9255424113,0.0000000000,0.0744575887,0.0744575887,0.0382702423,0.0361873464,1.0000000000,1.0000000000
15.0710000000,15071.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9617752299,0.0000000000,0.0382247701,0.9264544545,0.0000000000,0.0735455455,0.0735455455,0.0382247701,0.0353207753,1.0000000000,1.0000000000
15.0720000000,15072.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9618167783,0.0000000000,0.0381832217,0.9273454335,0.0000000000,0.0726545665,0.0726545665,0.0381832217,0.0344713448,1.0000000000,1.0000000000
15.0730000000,15073.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9618544876,0.0000000000,0.0381455124,0.9282158607,0.0000000000,0.0717841393,0.0717841393,0.0381455124,0.0336386269,1.0000000000,1.0000000000
15.0740000000,15074.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9618884397,0.0000000000,0.0381115603,0.9290662387,0.0000000000,0.0709337613,0.0709337613,0.0381115603,0.0328222010,1.0000000000,1.0000000000
15.0750000000,15075.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9619187133,0.0000000000,0.0380812867,0.9298970600,0.0000000000,0.0701029400,0.0701029400,0.0380812867,0.0320216533,1.0000000000,1.0000000000
15.0760000000,15076.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9619453846,0.0000000000,0.0380546154,0.9307088067,0.0000000000,0.0692911933,0.0692911933,0.0380546154,0.0312365779,1.0000000000,1.0000000000
15.0770000000,15077.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9619685267,0.0000000000,0.0380314733,0.9315019504,0.0000000000,0.0684980496,0.0684980496,0.0380314733,0.0304665764,1.0000000000,1.0000000000
15.0780000000,15078.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9619882101,0.0000000000,0.0380117899,0.9322769521,0.0000000000,0.0677230479,0.0677230479,0.0380117899,0.0297112580,1.0000000000,1.0000000000
15.0790000000,15079.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9620045023,0.0000000000,0.0379954977,0.9330342624,0.0000000000,0.0669657376,0.0669657376,0.0379954977,0.0289702399,1.0000000000,1.0000000000
15.0800000000,15080.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9620174684,0.0000000000,0.0379825316,0.9337743212,0.0000000000,0.0662256788,0.0662256788,0.0379825316,0.0282431473,1.0000000000,1.0000000000
15.0810000000,15081.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9620271709,0.0000000000,0.0379728291,0.9344975579,0.0000000000,0.0655024421,0.0655024421,0.0379728291,0.0275296129,1.0000000000,1.0000000000
15.0820000000,15082.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9620336694,0.0000000000,0.0379663306,0.9352043916,0.0000000000,0.0647956084,0.0647956084,0.0379663306,0.0268292777,1.0000000000,1.0000000000
15.0830000000,15083.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9620370213,0.0000000000,0.0379629787,0.9358952310,0.0000000000,0.0641047690,0.0641047690,0.0379629787,0.0261417903,1.0000000000,1.0000000000
15.0840000000,15084.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9620372816,0.0000000000,0.0379627184,0.9365704746,0.0000000000,0.0634295254,0.0634295254,0.0379627184,0.0254668070,1.0000000000,1.0000000000
15.0850000000,15085.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9620345026,0.0000000000,0.0379654974,0.9372305108,0.0000000000,0.0627694892,0.0627694892,0.0379654974,0.0248039918,1.0000000000,1.0000000000
15.0860000000,15086.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9620287345,0.0000000000,0.0379712655,0.9378757182,0.0000000000,0.0621242818,0.0621242818,0.0379712655,0.0241530163,1.0000000000,1.0000000000
15.0870000000,15087.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9620200253,0.0000000000,0.0379799747,0.9385064657,0.0000000000,0.0614935343,0.0614935343,0.0379799747,0.0235135597,1.0000000000,1.0000000000
15.0880000000,15088.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9620084206,0.0000000000,0.0379915794,0.9391231125,0.0000000000,0.0608768875,0.0608768875,0.0379915794,0.0228853081,1.0000000000,1.0000000000
15.0890000000,15089.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9619939639,0.0000000000,0.0380060361,0.9397260087,0.0000000000,0.0602739913,0.0602739913,0.0380060361,0.0222679552,1.0000000000,1.0000000000
15.0900000000,15090.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9619766967,0.0000000000,0.0380233033,0.9403154951,0.0000000000,0.0596845049,0.0596845049,0.0380233033,0.0216612017,1.0000000000,1.0000000000
15.0910000000,15091.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9619566584,0.0000000000,0.0380433416,0.9408919034,0.0000000000,0.0591080966,0.0591080966,0.0380433416,0.0210647549,1.0000000000,1.0000000000
